"Dunne Hall","Sunday","4 p.m."
"Fischer Graduate Residences","Sunday","4 p.m."
"Flaherty Hall","Sunday","4 p.m."
"O’Neill Hall","Sunday","4:30 p.m."
"Breen-Phillips Hall","Sunday","8:30 p.m."
"Howard Hall","Sunday","8:30 p.m."
"Keenan Hall","Sunday","8:30 p.m."
"Lewis Hall","Sunday","8:30 p.m."
"Morrissey Hall","Sunday","8:30 p.m."
"Pasquerilla East Hall","Sunday","8:30 p.m."
"Pasquerilla West Hall","Sunday","8:30 p.m."
"Badin Hall","Sunday","9 p.m."
"Carroll Hall","Sunday","9 p.m."
"Cavanaugh Hall","Sunday","9 p.m."
"Duncan Hall","Sunday","9 p.m."
"McGlinn Hall","Sunday","9 p.m."
"Ryan Hall","Sunday","9 p.m."
"Lyons Hall","Sunday","9:30 p.m."
"Alumni Hall","Sunday","10 p.m."
"Dillon Community in Baumer Hall","Sunday","10 p.m."
"Farley Hall","Sunday","10 p.m."
"Fisher Hall","Sunday","10 p.m."
"Keough Hall","Sunday","10 p.m."
"Knott Hall","Sunday","10 p.m."
"St. Edward’s Hall","Sunday","10 p.m."
"Siegfried Hall","Sunday","10 p.m."
"Sorin Hall","Sunday","10 p.m."
"Walsh Hall","Sunday","10 p.m."
"Welsh Family Hall","Sunday","10 p.m."
"Zahm Hall","Sunday","10 p.m."
"Stanford Hall","Sunday","10:30 p.m."
"Fischer Graduate Residences","Monday","8 a.m."
"O’Neill Hall","Monday","8:30 a.m."
"St. Edward’s Hall","Monday","4 p.m."
"Duncan Hall","Monday","9 p.m."
"McGlinn Hall","Monday","9 p.m."
"Badin Hall","Monday","9:30 p.m."
"Alumni Hall","Monday","10 p.m."
"Cavanaugh Hall","Monday","10 p.m."
"Dillon Community in Baumer Hall","Monday","10 p.m."
"Dunne Hall (Mass in Spanish)","Monday","10 p.m."
"Fisher Hall","Monday","10 p.m."
"Howard Hall","Monday","10 p.m."
"Keough Hall","Monday","10 p.m."
"Knott Hall","Monday","10 p.m."
"Morrissey Hall","Monday","10 p.m."
"Siegfried Hall","Monday","10 p.m."
"Sorin Hall","Monday","10 p.m."
"Stanford Hall","Monday","10 p.m."
"Welsh Family Hall","Monday","10 p.m."
"Fischer Graduate Residences","Tuesday","8 a.m."
"St. Edward’s Hall","Tuesday","4 p.m."
"Duncan Hall","Tuesday","9 p.m."
"Flaherty Hall","Tuesday","9 p.m."
"Alumni Hall","Tuesday","10 p.m."
"Badin Hall","Tuesday","10 p.m."
"Carroll Hall","Tuesday","10 p.m."
"Dillon Community in Baumer Hall","Tuesday","10 p.m."
"Dunne Hall","Tuesday","10 p.m."
"Fisher Hall","Tuesday","10 p.m."
"Keough Hall","Tuesday","10 p.m."
"Morrissey Hall","Tuesday","10 p.m."
"Siegfried Hall","Tuesday","10 p.m."
"Sorin Hall","Tuesday","10 p.m."
"Zahm Hall","Tuesday","10 p.m."
"Fischer Graduate Residences","Wednesday","8 a.m."
"Badin Hall","Wednesday","8:30 a.m."
"O’Neill Hall","Wednesday","8:30 a.m."
"St. Edward’s Hall","Wednesday","4 p.m."
"Breen-Phillips Hall","Wednesday","9 p.m."
"Duncan Hall","Wednesday","9 p.m."
"Pasquerilla West Hall","Wednesday","9 p.m."
